StratumID,SecondaryStratumID,StateClassID,AgeMin,AgeMax,RelativeAmount
Basin Big Sagebrush Upland,,Ann Gr Mono:Open,,,0.0099
Basin Big Sagebrush Upland,,Ann Gr:Open,,,0.0045
Basin Big Sagebrush Upland,,Early:Open,,,0.0025
Basin Big Sagebrush Upland,,Late:Closed,,,0.0100
Basin Big Sagebrush Upland,,Mid:Open,,,0.0070
Basin Big Sagebrush Upland,,Sh Ann Gr:Closed,,,0.0100
Basin Big Sagebrush Upland,,Sh Dpl:Closed,,,0.0150
Curleaf Mountain Mahogany,,Ann Gr:Open,,,0.0003
Curleaf Mountain Mahogany,,Early:Open,,,0.0006
Curleaf Mountain Mahogany,,Late:Closed,,,0.0015
Curleaf Mountain Mahogany,,Late:Open,,,0.0007
Curleaf Mountain Mahogany,,Mid 2:Open,,,0.0027
Curleaf Mountain Mahogany,,Mid:Closed,,,0.0015
Curleaf Mountain Mahogany,,Mid:Open,,,0.0021
Curleaf Mountain Mahogany,,Tr Ann Gr:Closed,,,0.0003
Curleaf Mountain Mahogany,,Tr Enc:Open,,,0.0052
Low Sagebrush,,Ann Gr:Open,,,0.0067
Low Sagebrush,,Early:Open,,,0.0167
Low Sagebrush,,Late:Closed,,,0.1505
Low Sagebrush,,Mid:Open,,,0.0334
Low Sagebrush,,Sh Ann Gr:Closed,,,0.0100
Low Sagebrush,,Tr Enc:Open,,,0.1171
Montane Sagebrush Upland,,Ann Gr:Open,,,0.0016
Montane Sagebrush Upland,,Early:Open,,,0.0064
Montane Sagebrush Upland,,Late:Closed,,,0.0674
Montane Sagebrush Upland,,Late:Open,,,0.0321
Montane Sagebrush Upland,,Mid:Open,,,0.0208
Montane Sagebrush Upland,,Sh Ann Gr:Closed,,,0.0016
Montane Sagebrush Upland,,Sh Dpl:Closed,,,0.0305
Montane Sagebrush Upland With Trees,,Ann Gr:Open,,,0.0037
Montane Sagebrush Upland With Trees,,Early:Open,,,0.0374
Montane Sagebrush Upland With Trees,,Late:Closed,,,0.0374
Montane Sagebrush Upland With Trees,,Late:Open,,,0.0374
Montane Sagebrush Upland With Trees,,Mid:Open,,,0.0561
Montane Sagebrush Upland With Trees,,Sh Ann Gr:Closed,,,0.0075
Montane Sagebrush Upland With Trees,,Sh Dpl:Closed,,,0.0898
Montane Sagebrush Upland With Trees,,Tr Enc Thr:Closed,,,0.0823
Montane Sagebrush Upland With Trees,,Tr Enc:Open,,,0.0225
Western Juniper Woodland & Savannah,,Ann Gr:Open,,,0.0005
Western Juniper Woodland & Savannah,,Early:Open,,,0.0039
Western Juniper Woodland & Savannah,,Late 2:Open,,,0.0221
Western Juniper Woodland & Savannah,,Late:Open,,,0.0148
Western Juniper Woodland & Savannah,,Mid:Open,,,0.0074
Western Juniper Woodland & Savannah,,Tr Ann Gr:Open,,,0.0005
Wyoming and Basin Big Sagebrush Upland,,Ann Gr Mono:Open,,,0.0008
Wyoming and Basin Big Sagebrush Upland,,Ann Gr:Open,,,0.0012
Wyoming and Basin Big Sagebrush Upland,,Crst Wht Gr:Open,,,0.0002
Wyoming and Basin Big Sagebrush Upland,,Early:Open,,,0.0013
Wyoming and Basin Big Sagebrush Upland,,Late:Closed,,,0.0025
Wyoming and Basin Big Sagebrush Upland,,Mid:Open,,,0.0030
Wyoming and Basin Big Sagebrush Upland,,Seeded:Open,,,0.0002
Wyoming and Basin Big Sagebrush Upland,,Sh Ann Gr:Closed,,,0.0025
Wyoming and Basin Big Sagebrush Upland,,Sh Dpl:Closed,,,0.0050
